eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,function,No. of backslas (/),No. of pipe characters,No. of Digite,No. of % character,No. of \ charecters,No. of =,encodeURIComponent,decodeURIComponent,No. of ';' charecters,No. of '#' charecters,No. of '+' charecters,No. of ' charecters,Found / Not Found
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,21,0,0,1,0,0,1,0,5,2,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4063,0,0,600,2,26,0,2177,0,0,25,0,0,19,0,10,2,1
0,12,2,4,1,1,1,0,13,0,3,3,36,38,13,6,2,0,0,0,2,4,2,0,0,4,0,4,0,1,0,243,0,0,0,0,35496,272,154,388,1530,24,70,1575,5,6,1164,5,348,9,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,30,2,3,3,422,0,0,25,0,0,18,0,14,6,1
4,4,6,2,0,0,0,16,2,1,6,3,15,0,40,0,2,0,0,0,8,33,5,0,3,0,1,5,0,9,0,292,0,0,6,0,74147,618,220,1332,1263,8,266,3524,2,0,735,13,554,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,850,0,0,3,0,0,1,0,20,2,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4774,52,40,119,70,1,38,246,0,0,63,10,47,29,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,7418,2041,3,28,8,5,2,3769,1,2045,10,0,0,26,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,118,8,5,4,1916,7,0,77,0,1,64,0,28,0,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,28,8,5,2,363,1,0,10,0,0,25,0,7,0,1
1,6,6,2,0,0,0,12,1,1,7,0,15,0,44,0,2,2,0,0,6,17,8,0,0,0,0,5,0,9,0,284,0,0,10,1,76291,621,267,1363,1217,8,0,3569,2,0,748,11,563,61,0
6,1,8,6,4,6,1,22,1,0,0,2,5,2,19,1,0,1,0,0,3,14,7,2,0,0,0,1,0,23,2,93,0,0,12,1,224,71,64,78,185,0,112,313,0,0,242,0,105,26,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5462,1365,0,0,0,0,0,2261,0,1365,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4211,34,5,20,115,7,0,135,0,0,12,3,72,2,0
0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3534,28,20,18,88,1,3,97,0,0,50,3,34,18,0
0,0,0,0,4,1,1,14,2,8,9,0,19,3,13,0,0,0,0,4,0,4,0,11,3,0,0,3,0,2,4,183,0,0,0,0,605,146,210,210,1310,9,23,798,3,0,491,348,399,164,1
1,47,9,22,1,1,3,8,56,6,26,0,15,30,39,9,7,0,2,16,9,27,5,0,0,12,0,16,0,4,21,618,1,40,39,6,3832,1274,484,829,3481,96,414,4452,18,3,3112,106,765,144,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,29,11,12,2,124,1,0,58,0,0,52,1,11,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,448,0,14,43,4158,4,3600,497,0,0,394,0,79,6,1
0,3,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,9,0,0,0,9,3,0,0,0,0,0,3,24,0,0,0,0,210,9,28,0,88,0,0,147,6,0,57,0,84,96,1
1,6,0,0,0,0,0,0,9,14,1,0,2,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,22602,84,65,133,601,12,58,785,0,0,167,0,222,57,0
6,5,0,0,0,0,0,0,6,7,0,0,6,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,1,40,0,0,62,26,41,441,305,5,352,170,0,0,104,2,55,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,206,109,2,7,3,3,2,291,0,109,11,0,0,13,0,2,56,1
0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3534,28,20,18,88,1,3,97,0,0,50,3,34,18,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,1408,574,15,80,5,5,5,1890,0,583,32,0,1,31,0,26,2,1
0,10,0,0,0,0,1,1,1,0,1,2,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,16760,202,98,129,472,0,30,546,1,0,251,3,114,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,432,0,1,27,3,9,0,539,0,0,6,0,0,8,0,2,4,1
0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,39,2,118,0,0,1998,10,37,8,115,14,8,74,1,0,50,0,32,0,0
0,2,0,0,0,0,1,2,10,3,2,2,8,6,7,0,4,2,0,0,1,4,4,9,0,0,0,3,0,4,0,60,3,167,0,0,12848,65,64,102,913,0,13,366,4,1,125,4,116,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,608,0,17,0,1439,0,0,7,0,0,1,0,0,0,1
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,2,2,3,91,0,0,24,0,0,18,0,13,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5710,0,1,4,0,0,0,454,0,0,1,0,0,1,0,0,2,1
0,2,3,0,0,0,2,1,1,0,1,0,2,0,0,0,1,0,0,0,1,2,2,2,0,2,0,1,0,30,0,96,3,148,0,0,16749,108,138,109,245,0,37,404,0,0,151,0,72,6,0
1,20,2,0,0,0,0,0,8,3,4,13,3,2,15,2,0,0,0,0,0,6,4,0,0,3,0,2,0,14,0,128,1,37,0,0,21809,229,91,93,831,1,125,663,4,2,243,9,209,14,0
0,3,4,1,0,2,0,13,3,1,8,0,10,0,38,0,2,0,0,0,2,19,7,0,0,2,1,2,0,9,0,282,0,0,13,0,70534,642,177,1080,1106,8,257,3187,2,0,656,11,513,33,0
0,6,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,62,30,14532,3874,52,342,62,24,30,11208,30,3892,408,0,6,388,0,158,644,1
1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,9042,6,13,14,1,5,0,7114,0,6,21,0,0,24,0,7,12,1
0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,2,208,0,0,116,3,1,0,165,78,0,118,0,0,109,0,6,154,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,2436,705,5,16,5,0,0,1597,0,705,14,0,0,8,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,57,4,0,0,0,0,0,6,0,0,13,1,3,24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,73,1,12,4,54,0,12,19,0,1,9,1,10,4,1
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12642,3178,1,19,4,3,2,5186,1,3178,8,0,0,16,0,4,0,1
0,0,0,8,0,0,0,0,0,49,15,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,53,0,0,5102,69,363,40,297,2,2,378,0,0,426,95,109,1205,0
0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,43,10,14,4,1551,9,0,87,0,1,75,0,33,124,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,4,4,0,64,1,0,34,0,0,15,0,4,12,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4031,1,0,296,0,20,0,2200,0,1,56,0,0,19,0,5,0,1
0,3,1,60,0,0,6,1,4,101,62,0,30,10,25,0,2,0,0,9,0,15,1,0,0,0,0,0,1,4,0,538,24,1311,0,0,2254,841,398,729,2431,89,30,3621,0,1,968,168,796,255,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,5,282,118,13,753,10,6,0,2889,0,118,64,0,0,67,0,4,120,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,0,0,0,0,3799,27,163,51,174,1,1,165,0,0,188,0,23,17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,21,10,4,2,69,1,0,49,0,0,46,0,4,12,1
0,0,0,0,0,0,0,0,0,27,5,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2,91,0,0,13137,557,480,30,827,20,232,685,0,0,1516,547,637,3386,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,87,34,18,12,146,1,0,127,0,0,134,0,43,24,1
0,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1930,54,55,12,22,1,7,224,0,0,251,636,35,577,0
0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,8,0,0,0,0,70,3,9,0,36,0,0,48,2,0,19,0,28,34,1
1,0,1,0,0,0,0,0,1,1,3,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,111,0,0,378,91,70,32,240,5,60,319,0,0,381,0,184,42,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,160,17,0,0,8,0,389,2,1
0,0,3,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,304,181,123,805,90,10,823,0,0,227,7,218,41,0
1,2,4,2,2,0,2,0,9,9,5,5,5,6,4,0,7,0,0,2,0,2,0,0,0,7,0,3,12,5,0,291,3,124,10,0,1376,649,103,444,2734,2,80,2464,2,0,1933,3,292,25,1
0,0,0,0,0,0,0,0,3,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,11126,48,301,14,467,1,0,272,0,0,287,3,65,412,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,572,224,9,52,3,0,2,731,0,224,27,0,0,18,0,14,0,1
0,0,3,0,0,0,0,0,1,0,2,0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,141,16,1451,0,0,351,304,181,123,805,90,10,823,0,0,227,7,218,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,58,0,0,1956,230,3,0,660,2,0,26,0,0,723,0,15,462,1
0,17,5,0,0,1,0,0,0,19,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,6,518,0,0,606,237,102,305,843,20,24,1542,0,0,326,9,422,153,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,116,0,0,98,0,4,0,358,2,0,136,0,0,32,0,237,448,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,112,0,0,98,0,4,0,360,2,0,139,0,0,32,0,225,424,1
0,17,5,0,0,1,0,0,0,18,4,0,6,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,6,518,0,0,572,235,109,301,828,20,24,1483,0,0,322,10,420,149,0
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,240,0,9,229,0,14,0,44,2,0,29,0,0,40,0,9,8,1
0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,1180,27,97,10,261,7,7,118,0,0,132,2,36,246,0
0,0,0,20,0,0,11,0,4,43,24,0,29,6,7,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,367,5,216,0,0,15757,328,701,199,1062,35,8,1731,0,1,1878,57,506,4561,0
0,3,0,7,0,0,0,0,0,5,10,0,1,1,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,69,1,164,0,0,208,125,56,104,277,43,2,492,0,0,128,1,116,20,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,60,25,4,19,273,2,0,290,0,0,91,0,102,0,0
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,314,10,394,0,0,20699,272,438,69,1132,7,21,1304,0,0,1586,619,331,1570,0
0,0,0,0,0,0,1,1,0,1,3,0,1,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,38,2,79,0,0,223,116,40,78,204,0,21,391,0,0,94,3,58,21,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,158,0,0,0,0,0,0,258,131,0,0,0,3,1,0,0,6,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,1137,45,14,0,1235,5,2,309,0,0,279,0,32,149,1
0,0,1,5,6,6,3,0,16,25,77,0,54,21,72,0,1,2,0,5,0,0,2,0,0,0,0,0,0,0,0,1276,46,1967,2,0,57021,1089,2756,782,1452,112,164,6923,0,0,6157,291,877,14193,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,6499,0,7,51,16,4,0,2770,0,10,23,0,0,43,0,34,4,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1100,36,51,10,50,1,0,131,0,0,134,5,13,283,0
0,0,0,7,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,10651,57,93,14,45,1,1,193,0,2,218,19,50,424,0
0,0,4,0,0,0,0,0,0,1,0,0,7,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,213,6,226,0,0,13249,105,131,20,120,1,58,533,0,0,597,72,281,714,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,49,0,0,149,57,27,30,58,0,27,189,0,2,60,19,20,28,0
3,7,0,0,0,0,0,0,1,3,0,10,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,30,559,7,44,3,285,35,4,88,0,0,131,0,109,222,1
0,1,0,0,0,0,0,0,6,1,3,0,5,4,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,212,8,320,0,0,1062,264,178,145,1317,7,19,1287,0,0,373,615,328,132,0
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,1,39,0,0,12848,146,304,49,353,2,28,625,0,0,637,45,276,630,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,80,0,0,10726,944,39,0,15875,28,0,984,0,0,2928,0,138,1888,1
1,1,0,0,0,0,0,0,3,8,2,0,19,6,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,39,0,0,428,133,45,87,283,2,17,591,0,0,207,43,268,68,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,3244,33,24,8,47,0,1,148,0,0,164,7,41,178,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,66,0,5,2328,1,10,0,1374,13,10,40,0,0,43,0,545,3604,1
0,0,4,0,0,0,0,0,0,1,0,0,7,5,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,7,263,0,0,390,102,47,40,161,1,27,530,0,0,172,72,281,195,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,148,0,0,99,0,4,0,788,2,0,441,0,0,242,0,224,420,1
1,2,1,0,0,0,0,1,2,2,1,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,122,0,0,812,5,181,1818,10674,52,192,3712,0,0,626,11,618,20,0
2,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,292,2907,4,74,9,7,0,15278,0,2907,1117,0,0,2940,0,16,0,1
1,2,0,1,0,0,0,0,1,2,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,130,0,0,748,5,203,1207,10933,40,194,1791,0,0,415,9,299,150,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,79,0,4,0,38,0,0,12,0,0,20,0,6,0,1
1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1050,0,1,132,1646,1,4,4,0,0,101,100,4,14,0
0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,945,39,215,11,70,0,10,99,0,0,148,4,49,410,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81,6278,2667,58,237,63,6,9,8227,8,2668,155,0,1,234,0,56,866,1
0,0,0,1,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,778,43,129,0,79,0,1,71,0,0,163,15,20,377,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,41,0,0,89,0,4,0,40,0,0,14,0,0,23,0,6,0,1
0,0,0,0,0,0,0,0,0,37,5,0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,5493,169,831,24,389,18,25,762,0,0,1070,109,222,2194,0
